City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,kayyerkan,69.3786,87.7439,27.39,50,58,0.29,RU,1690432435
224,goundam,16.4145,-3.6708,32.92,39,94,5.06,ML,1690432436
225,weno,7.4515,151.8468,28.2,76,47,3.86,FM,1690432436
226,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,68,40,7.0,RU,1690432436
227,marco island,25.9363,-81.7157,27.0,67,100,4.56,US,1690432436
228,amga,60.8953,131.9608,24.92,38,100,2.76,RU,1690432436
229,dalcahue,-42.3628,-73.7022,7.33,93,100,3.09,CL,1690432436
230,wangkui,46.8333,126.5,29.58,69,94,7.6,CN,1690432437
231,gobabis,-22.45,18.9667,10.43,31,8,3.13,NA,1690432437
232,howrah,22.5892,88.3103,30.0,84,40,4.12,IN,1690432437
233,richards bay,-28.783,32.0377,16.05,71,0,4.28,ZA,1690432432
234,acajutla,13.5928,-89.8275,27.36,75,15,2.61,SV,1690432437
235,fangshan,39.6983,115.9925,36.64,38,45,3.94,CN,1690432437
236,san patricio,28.017,-97.5169,29.36,77,43,5.72,US,1690432437
237,mariental,-24.6333,17.9667,10.53,20,0,3.59,NA,1690432437
238,vallenar,-28.5708,-70.7581,15.88,72,100,1.63,CL,1690432438
239,gumla,23.05,84.55,28.19,72,95,4.84,IN,1690432438
240,vrangel',42.7297,133.0839,23.58,79,59,3.28,RU,1690432289
241,ishinomaki,38.4167,141.3,31.0,60,0,2.56,JP,1690432438
242,port-vila,-17.7338,168.3219,22.78,64,75,8.75,VU,1690432438
243,rongelap,11.1635,166.8941,28.55,76,100,7.93,MH,1690432438
244,east london,-33.0153,27.9116,15.52,77,0,4.63,ZA,1690432438
245,jackson,42.4165,-122.8345,26.93,26,0,3.6,US,1690432233
246,benghazi,32.1167,20.0667,27.86,85,0,6.12,LY,1690432439
247,arno,60.1167,18.6333,13.35,79,97,2.94,SE,1690432439
248,wuwei,37.9281,102.6414,30.19,29,100,5.18,CN,1690432439
249,arraial do cabo,-22.9661,-42.0278,20.96,90,54,9.78,BR,1690432433
250,mkushi,-13.6202,29.3939,10.15,87,0,2.05,ZM,1690432439
251,tshikapa,-6.4167,20.8,20.77,38,44,1.03,CD,1690432439
252,isola di capo rizzuto,38.96,17.0933,21.77,46,0,2.87,IT,1690432440
253,mudanya,40.3753,28.8822,25.92,64,61,7.14,TR,1690432440
254,ranau,5.9538,116.6641,30.08,51,99,0.5,MY,1690432440
255,rio verde de mato grosso,-18.9181,-54.8442,22.81,35,0,1.05,BR,1690432440
256,oliena,40.2723,9.403,19.57,63,5,2.12,IT,1690432440
257,lerwick,60.1545,-1.1494,9.0,86,0,0.93,GB,1690432440
258,kibaha,-6.7667,38.9167,21.29,79,69,2.09,TZ,1690432441
259,kuala belait,4.5833,114.1833,32.09,61,55,4.61,BN,1690432441
260,xining,36.6167,101.7667,18.34,67,100,2.41,CN,1690432441
261,torghay,49.6339,63.4981,27.48,43,1,3.36,KZ,1690432441
262,nizhneangarsk,55.7833,109.55,13.05,89,99,2.33,RU,1690432441
263,luebo,-5.35,21.4167,20.14,43,31,0.71,CD,1690432441
264,rouissat,31.9243,5.3502,32.04,45,0,2.57,DZ,1690432441
265,qusmuryn,52.4503,64.6311,25.72,46,39,3.09,KZ,1690432442
266,egilsstadir,65.2653,-14.3948,5.95,93,100,5.66,IS,1690432442
267,fort bragg,35.139,-79.006,27.32,84,0,3.6,US,1690432200
268,niafunke,15.9322,-3.9906,32.2,40,100,5.08,ML,1690432443
269,san luis,-33.295,-66.3356,9.32,44,97,3.13,AR,1690432280
270,noumea,-22.2763,166.4572,21.99,65,39,7.73,NC,1690432444
271,beichengqu,40.4394,113.1536,30.31,37,100,2.98,CN,1690432444
272,ephraim,39.3597,-111.5863,20.7,65,80,2.27,US,1690432445
273,klaksvik,62.2266,-6.589,8.51,90,81,4.06,FO,1690432445
274,ixtapa,20.7,-105.2,25.57,94,75,2.06,MX,1690432445
275,zouerate,22.7187,-12.4521,27.46,29,26,6.76,MR,1690432446
276,karratha,-20.7377,116.8463,24.33,39,76,5.64,AU,1690432446
277,shizunai-furukawacho,42.3339,142.3669,25.0,84,92,2.49,JP,1690432447
278,manokwari,-0.8667,134.0833,28.41,74,43,2.94,ID,1690432447
279,praia,14.9215,-23.5087,26.3,89,75,5.66,CV,1690432448
280,panacan,9.2463,118.4082,28.99,76,85,7.83,PH,1690432448
281,realeza,-25.7689,-53.5325,14.47,95,26,1.46,BR,1690432448
282,road town,18.4167,-64.6167,28.05,79,100,7.93,VG,1690432363
283,markaz-e hukumat-e darweshan,31.1323,64.1934,37.73,20,1,6.77,AF,1690432449
284,coahuayana de hidalgo,18.7,-103.6583,27.15,84,89,0.88,MX,1690432449
285,fale old settlement,-9.3852,-171.2468,28.57,72,59,7.59,TK,1690432449
286,acapulco de juarez,16.8634,-99.8901,29.9,70,75,3.6,MX,1690432449
287,neftegorsk,52.802,51.166,27.58,42,3,5.94,RU,1690432450
288,greymouth,-42.4667,171.2,8.28,75,50,2.29,NZ,1690432450
289,gaiman,-43.2897,-65.4929,3.28,69,84,2.27,AR,1690432450
